quote_uuid,quote_text,author
96762210-b8e5-4ddc-bcd4-2adfc6b86610,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley
0557bce0-231f-4bc1-990e-bc963872368f,“Not all of us can do great things. But we can do small things with great love.”,Mother Teresa
358dead5-e548-4f90-836c-85d79e712f1b,"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling
519dd34b-850f-4c91-b4bd-53eaccc11978,“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz
1b05f79b-ddbc-4dd3-abba-8567485c0246,“We read to know we're not alone.”,William Nicholson
f943e0e1-f1c0-4d0c-86f3-dbf45a8c231e,“Any fool can know. The point is to understand.”,Albert Einstein
d944aac3-6509-4168-bc7a-4ae9dddf233c,“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges
c3954f3f-d53f-4ebe-8398-860406e11748,“It is never too late to be what you might have been.”,George Eliot
34df8d59-1d90-4ef6-8d03-2df0aeb9642c,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin
93f47837-5ce0-4108-830d-5d4212473895,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
56482138-06d5-4ff3-afdb-25690cc9d445,“You believe lies so you eventually learn to trust no one but yourself.”,Marilyn Monroe
8ce93993-668b-4f77-87f7-babec45089e4,"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe
036dde87-d67a-4f5a-b226-1024750dc3f6,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein
88fb4222-ecb0-42c4-87de-8aa597f59fd1,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,Marilyn Monroe
9fe59a45-0196-4db2-8be7-8b06ff1fd357,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",Marilyn Monroe
b1a49a03-42e3-4e4b-b809-f3c6f571fb48,“Only in the darkness can you see the stars.”,Martin Luther King Jr.
37c35cb6-9916-4e5b-8d8f-60faaa431f72,"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling
4dcae668-8e6b-4ab8-80fb-8d1390af23b5,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin
bad4422b-c24c-4a98-98dd-c1c0d7ef58ad,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
93154b21-215c-4520-8df3-7d63f876b54e,“Do one thing every day that scares you.”,Eleanor Roosevelt
01ab47cd-23cb-4a13-af88-197ea35d8952,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe
8e274246-6176-417d-9e5d-740228a98051,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein
118d9751-12d6-4982-a8ae-72a437390d32,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
731a250b-9264-4bd3-b027-a63e82f381a6,“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils
