quote_uuid,tag
d944aac3-6509-4168-bc7a-4ae9dddf233c,books
d944aac3-6509-4168-bc7a-4ae9dddf233c,library
c3954f3f-d53f-4ebe-8398-860406e11748,inspirational
34df8d59-1d90-4ef6-8d03-2df0aeb9642c,read
34df8d59-1d90-4ef6-8d03-2df0aeb9642c,readers
34df8d59-1d90-4ef6-8d03-2df0aeb9642c,reading
34df8d59-1d90-4ef6-8d03-2df0aeb9642c,reading-books
93f47837-5ce0-4108-830d-5d4212473895,books
93f47837-5ce0-4108-830d-5d4212473895,inspirational
93f47837-5ce0-4108-830d-5d4212473895,reading
93f47837-5ce0-4108-830d-5d4212473895,tea
56482138-06d5-4ff3-afdb-25690cc9d445,
8ce93993-668b-4f77-87f7-babec45089e4,girls
8ce93993-668b-4f77-87f7-babec45089e4,love
036dde87-d67a-4f5a-b226-1024750dc3f6,life
036dde87-d67a-4f5a-b226-1024750dc3f6,simile
88fb4222-ecb0-42c4-87de-8aa597f59fd1,love
9fe59a45-0196-4db2-8be7-8b06ff1fd357,attributed-no-source
b1a49a03-42e3-4e4b-b809-f3c6f571fb48,hope
b1a49a03-42e3-4e4b-b809-f3c6f571fb48,inspirational
37c35cb6-9916-4e5b-8d8f-60faaa431f72,dumbledore
4dcae668-8e6b-4ab8-80fb-8d1390af23b5,love
bad4422b-c24c-4a98-98dd-c1c0d7ef58ad,friendship
bad4422b-c24c-4a98-98dd-c1c0d7ef58ad,love
93154b21-215c-4520-8df3-7d63f876b54e,attributed
93154b21-215c-4520-8df3-7d63f876b54e,fear
93154b21-215c-4520-8df3-7d63f876b54e,inspiration
01ab47cd-23cb-4a13-af88-197ea35d8952,attributed-no-source
8e274246-6176-417d-9e5d-740228a98051,music
118d9751-12d6-4982-a8ae-72a437390d32,books
118d9751-12d6-4982-a8ae-72a437390d32,thought
731a250b-9264-4bd3-b027-a63e82f381a6,misattributed-to-einstein
92e542d2-80b9-4a64-bb3e-4edc4412d30e,drug
92e542d2-80b9-4a64-bb3e-4edc4412d30e,romance
92e542d2-80b9-4a64-bb3e-4edc4412d30e,simile
8c9bae5e-1d51-40f7-b340-dbf620a68f80,books
8c9bae5e-1d51-40f7-b340-dbf620a68f80,friends
8c9bae5e-1d51-40f7-b340-dbf620a68f80,novelist-quotes
955ffbfe-35bb-4b64-aac7-b929b86038c2,inspirational
eb5460af-4d2b-465d-b149-680883a4d7ad,inspirational
eb5460af-4d2b-465d-b149-680883a4d7ad,life
eb5460af-4d2b-465d-b149-680883a4d7ad,yourself
f1e80105-0945-4912-ac11-4771d8b791c1,alcohol
6c76928b-529d-4580-a129-05b659b47442,the-hunger-games
4f5bb0e5-2dbe-4d5d-8df2-2ec278e7fe5c,humor
713f838b-6910-45f1-8351-52205fb48bbb,love
3ef9fae0-04aa-454b-8732-7fa5a92432f8,bilbo
3ef9fae0-04aa-454b-8732-7fa5a92432f8,journey
3ef9fae0-04aa-454b-8732-7fa5a92432f8,lost
3ef9fae0-04aa-454b-8732-7fa5a92432f8,quest
3ef9fae0-04aa-454b-8732-7fa5a92432f8,travel
3ef9fae0-04aa-454b-8732-7fa5a92432f8,wander
3504e2dd-ac04-408c-b6fb-c8a4bdf86c64,live-death-love
10a6a841-4366-457d-865a-ada97c12370c,good
10a6a841-4366-457d-865a-ada97c12370c,writing
b1a43639-ec55-4d9b-a75e-925fbd0e46ed,life
b1a43639-ec55-4d9b-a75e-925fbd0e46ed,regrets
388658a7-c1fc-4904-a896-99d0380b0b31,education
5cafbbfb-c928-495a-88fc-13b2e59a1caf,troubles
bbb158ed-0b10-4d48-828d-a95367222711,friendship
bbb158ed-0b10-4d48-828d-a95367222711,love
a410bcb3-6d4f-4938-9045-ab2a33b83e31,humor
70924499-1547-4ab3-ae0a-c595153a9249,humor
70924499-1547-4ab3-ae0a-c595153a9249,open-mind
70924499-1547-4ab3-ae0a-c595153a9249,thinking
a54c5983-6b9d-4aeb-85d8-6caa5c26b064,humor
a54c5983-6b9d-4aeb-85d8-6caa5c26b064,philosophy
e35b2878-dffe-4a32-b22f-8f054b3704cf,authors
e35b2878-dffe-4a32-b22f-8f054b3704cf,books
e35b2878-dffe-4a32-b22f-8f054b3704cf,literature
e35b2878-dffe-4a32-b22f-8f054b3704cf,reading
e35b2878-dffe-4a32-b22f-8f054b3704cf,writing
c2b0c247-b3a7-4c16-bd47-109140905c77,humor
c2b0c247-b3a7-4c16-bd47-109140905c77,insanity
c2b0c247-b3a7-4c16-bd47-109140905c77,lies
c2b0c247-b3a7-4c16-bd47-109140905c77,lying
c2b0c247-b3a7-4c16-bd47-109140905c77,self-indulgence
c2b0c247-b3a7-4c16-bd47-109140905c77,truth
3eee0505-31e3-4d5d-ae2b-ae17fa9c91ad,beatles
3eee0505-31e3-4d5d-ae2b-ae17fa9c91ad,connection
3eee0505-31e3-4d5d-ae2b-ae17fa9c91ad,dreamers
3eee0505-31e3-4d5d-ae2b-ae17fa9c91ad,dreaming
3eee0505-31e3-4d5d-ae2b-ae17fa9c91ad,dreams
3eee0505-31e3-4d5d-ae2b-ae17fa9c91ad,hope
3eee0505-31e3-4d5d-ae2b-ae17fa9c91ad,inspirational
3eee0505-31e3-4d5d-ae2b-ae17fa9c91ad,peace
23df1e03-b53b-4ae2-befa-d7d6846baef1,humor
23df1e03-b53b-4ae2-befa-d7d6846baef1,sinister
2df7fc0a-e731-4368-9975-6f533876d088,
3e1a4ed4-caa2-4d9d-9662-578c8bde9e2c,books
3e1a4ed4-caa2-4d9d-9662-578c8bde9e2c,classic
3e1a4ed4-caa2-4d9d-9662-578c8bde9e2c,reading
ef59f90e-076c-4cd1-b6cf-0b1d0176aa36,mistakes
20893430-26e6-43b2-aa78-dcec4d5df9c4,humor
20893430-26e6-43b2-aa78-dcec4d5df9c4,love
20893430-26e6-43b2-aa78-dcec4d5df9c4,romantic
20893430-26e6-43b2-aa78-dcec4d5df9c4,women
832ffba3-8148-49eb-9a1d-908a8462fd6c,integrity
58dc1448-44eb-4f16-9331-7a77b5174ce3,books
58dc1448-44eb-4f16-9331-7a77b5174ce3,library
58dc1448-44eb-4f16-9331-7a77b5174ce3,reading
dcb977d3-d5e4-4f4f-a991-2add4e5d1ee1,elizabeth-bennet
dcb977d3-d5e4-4f4f-a991-2add4e5d1ee1,jane-austen
68c95928-cf25-4139-8a98-3c15dfaac412,age
68c95928-cf25-4139-8a98-3c15dfaac412,fairytales
68c95928-cf25-4139-8a98-3c15dfaac412,growing-up
3dce4843-38e2-417d-bb0a-d3d1f2a10b99,god
590cd09d-3ccd-4370-a695-1dd38b50a423,death
590cd09d-3ccd-4370-a695-1dd38b50a423,life
c53f884c-19fb-45df-ba21-72484592c176,misattributed-mark-twain
c53f884c-19fb-45df-ba21-72484592c176,truth
56aeeca9-4942-4c30-bedb-916f0ea82d70,christianity
56aeeca9-4942-4c30-bedb-916f0ea82d70,faith
56aeeca9-4942-4c30-bedb-916f0ea82d70,religion
56aeeca9-4942-4c30-bedb-916f0ea82d70,sun
0bcbbfba-b1d7-4d9d-a893-a473a749e85c,truth
11e7aee0-65e2-4deb-8509-0b2c463c8a66,death
11e7aee0-65e2-4deb-8509-0b2c463c8a66,life
66925341-ef3e-4b49-9e3d-aa2f620532da,adventure
66925341-ef3e-4b49-9e3d-aa2f620532da,love
9d6b289d-b6d6-4343-aed6-c3b749afc58a,courage
867709a1-4a71-4d62-ae96-a9fc496a6e79,life
3a423eb0-bd4c-4451-98fb-69208e9f3e07,better-life-empathy
97fafcc3-7e50-44cf-806c-47656c6df47e,books
97fafcc3-7e50-44cf-806c-47656c6df47e,children
97fafcc3-7e50-44cf-806c-47656c6df47e,difficult
97fafcc3-7e50-44cf-806c-47656c6df47e,grown-ups
97fafcc3-7e50-44cf-806c-47656c6df47e,write
97fafcc3-7e50-44cf-806c-47656c6df47e,writers
97fafcc3-7e50-44cf-806c-47656c6df47e,writing
9134cc74-aa8b-43ab-94fd-2ffe4205c34e,truth
0a86c32d-4e27-4609-aea9-287aead49d15,inspirational
09bbecaa-e5c9-4cad-a683-c3633e9649e6,books
09bbecaa-e5c9-4cad-a683-c3633e9649e6,mind
